epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0146,1.68385,3.17927,1.34491,0.01748,0.18362,0.09657,0.06232,1.168,3.79929,1.08649,0.00028,0.00028,0.00028
2,29.5674,1.43102,1.82969,1.12538,0.01223,0.6116,0.47443,0.38581,1.21962,3.1662,1.14235,0.000564357,0.000564357,0.000564357
3,42.1911,1.41309,1.57616,1.12755,0.95078,0.51694,0.61978,0.49544,1.24262,2.41556,1.14479,0.000842972,0.000842972,0.000842972
4,55.0501,1.31254,1.42469,1.09262,0.87325,0.58929,0.65287,0.51402,1.16733,1.76734,1.14149,0.0009703,0.0009703,0.0009703
5,67.7992,1.29566,1.33821,1.07243,0.63442,0.63313,0.63789,0.51843,1.11285,1.43296,1.08862,0.0009604,0.0009604,0.0009604
6,80.5657,1.27571,1.2577,1.07019,0.61109,0.68,0.64574,0.54074,1.00021,1.42667,1.0586,0.0009505,0.0009505,0.0009505
7,93.3995,1.18837,1.17347,1.04276,0.67441,0.76302,0.71643,0.55738,1.01747,1.1825,1.03056,0.0009406,0.0009406,0.0009406
8,105.938,1.24724,1.20923,1.05854,0.64968,0.74139,0.69261,0.56063,0.99535,1.16107,1.05139,0.0009307,0.0009307,0.0009307
9,118.384,1.18492,1.15847,1.03885,0.65018,0.75225,0.70553,0.54669,1.0305,1.19428,1.06059,0.0009208,0.0009208,0.0009208
10,130.803,1.23484,1.1739,1.0509,0.65122,0.74425,0.69782,0.55132,0.98616,1.14927,1.01327,0.0009109,0.0009109,0.0009109
11,143.249,1.1572,1.07717,1.02687,0.79895,0.68425,0.68695,0.54554,0.99611,1.15881,1.03157,0.000901,0.000901,0.000901
12,155.778,1.22389,1.12014,1.04513,0.71812,0.7355,0.74806,0.56921,0.93659,1.15365,1.0177,0.0008911,0.0008911,0.0008911
