epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,874.673,1.38576,1.21958,1.15457,0.68833,0.85459,0.78079,0.52045,1.35071,1.09027,1.08799,0.000639532,0.000639532,0.000639532
43,893.451,1.35244,1.17136,1.15021,0.72926,0.82369,0.83928,0.54985,1.45487,1.07868,1.10991,0.000624383,0.000624383,0.000624383
44,911.326,1.35398,1.16323,1.14614,0.7578,0.83757,0.78954,0.4975,1.52573,1.04287,1.14084,0.000609111,0.000609111,0.000609111
45,929.113,1.33689,1.14725,1.12919,0.71722,0.84608,0.7719,0.53763,1.36541,1.00239,1.08328,0.000593731,0.000593731,0.000593731
46,946.858,1.3358,1.14278,1.13709,0.74066,0.85806,0.79291,0.54656,1.41577,1.01867,1.09061,0.000578259,0.000578259,0.000578259
47,965.217,1.3441,1.12767,1.15342,0.75683,0.82999,0.76268,0.51899,1.40436,1.00912,1.09527,0.00056271,0.00056271,0.00056271
48,982.819,1.31733,1.14821,1.14627,0.73271,0.85418,0.77955,0.55912,1.19558,0.98693,1.04996,0.000547099,0.000547099,0.000547099
49,1000.63,1.31163,1.14585,1.12371,0.73281,0.85892,0.85618,0.56114,1.42503,1.01953,1.09427,0.000531442,0.000531442,0.000531442
50,1018.61,1.34155,1.14359,1.13252,0.73985,0.83278,0.77419,0.54056,1.30883,0.99638,1.063,0.000515754,0.000515754,0.000515754
51,1036.77,1.33368,1.1301,1.1347,0.72268,0.8342,0.77791,0.53285,1.354,1.01178,1.07263,0.00050005,0.00050005,0.00050005
